艦名,艦種,秘書艦種,テーブル,置換先装備,置換先％,置換元装備,置換元％
# 砲戦系,,,,,,,
「Littorio」|「Roma」|「Zara」|「Pola」,,砲戦系,ボーキ,Ro.43水偵,6,12.7cm連装高角砲,2
,,,,,,試製烈風 後期型,2
,,,,,,零式水上偵察機,2
「Warspite」|「Valiant」|「Nelson」|「Rodney」,,砲戦系,ボーキ,Spitfire Mk.I,6,12.7cm連装高角砲,2
,,,,,,零式艦戦21型,2
,,,,,,零式艦戦52型,2
「Nelson」|「Rodney」,,砲戦系,鋼燃,16inch Mk.I三連装砲,4,20.3cm連装砲,2
,,,,,,15.2cm単装砲,2
「Nelson」|「Rodney」,,砲戦系,鋼燃,20連装7inch UP Rocket Launchers,4,61cm三連装魚雷,2
,,,,,,61cm四連装魚雷,2
「Nelson」|「Rodney」,,砲戦系,弾薬,16inch Mk.I三連装砲,8,20.3cm連装砲,2
,,,,,,35.6cm連装砲,2
,,,,,,41cm連装砲,2
,,,,,,46cm三連装砲,2
「Nelson」|「Rodney」,,砲戦系,弾薬,20連装7inch UP Rocket Launchers,6,15.2cm単装砲,2
,,,,,,61cm三連装魚雷,2
,,,,,,61cm四連装魚雷,2
「Nelson」|「Rodney」,,砲戦系,ボーキ,16inch Mk.I三連装砲,4,35.6cm連装砲,2
,,,,,,41cm連装砲,2
「Nelson」|「Rodney」,,砲戦系,ボーキ,20連装7inch UP Rocket Launchers,2,46cm三連装砲,2
「比叡改二」,,砲戦系,ボーキ,探照灯,6,九六式艦戦,2
,,,,,,九九式艦爆,2
,,,,,,瑞雲,2
「Northampton」,,砲戦系,ボーキ,SOC Seagull,4,零式艦戦21型,2
,,,,,,零式水上偵察機,2
「金剛」|「比叡」|「榛名」|「霧島」,,砲戦系,鋼燃,三式弾,2,20.3cm連装砲,2
「金剛」|「比叡」|「榛名」|「霧島」,,砲戦系,弾薬,三式弾,8,14cm単装砲,2
,,,,,,20.3cm連装砲,4
,,,,,,甲標的 甲型,2
「金剛」|「比叡」|「榛名」|「霧島」,,砲戦系,ボーキ,三式弾,6,14cm単装砲,2
,,,,,,20.3cm連装砲,2
,,,,,,甲標的 甲型,2
「Nevada」,,砲戦系,鋼燃,14inch/45 連装砲,4,61cm四連装魚雷,2
,,,,,,改良型艦本式タービン,2
「Nevada」,,砲戦系,弾薬,14inch/45 連装砲,4,61cm四連装魚雷,2
,,,,,,改良型艦本式タービン,2
「Richelieu」|「Jean Bart」,,砲戦系,鋼燃,38cm四連装砲,2,7.7mm機銃,2
「Richelieu」|「Jean Bart」,,砲戦系,弾薬,38cm四連装砲,2,7.7mm機銃,2
大和|大和改|大和改二|「武蔵」,,砲戦系,鋼燃,試製46cm連装砲,2,15.2cm単装砲,2
大和|大和改|大和改二|「武蔵」,,砲戦系,弾薬,試製46cm連装砲,2,15.5cm三連装砲,2
大和|大和改|大和改二|「武蔵」,,砲戦系,弾薬,46cm三連装砲,2,15.2cm単装砲,2
大和|大和改|大和改二|「武蔵」,,砲戦系,ボーキ,46cm三連装砲,2,15.5cm三連装砲,2
